,Septwolves market price,Septwolves sugessted price,Ruan Yuxi market price,Ruan Yuxi suggested price,Ying Furong market price,Ying Furong suggested price,
2016,185,185.5,198,201.4,222,218.36,
2016,184,185.5,198,201.4,222,218.36,
2016,182,185.5,198,201.4,222,218.36,
2016,182,185.5,198,201.4,223,218.36,
2016,182,185.5,198,201.4,222,218.36,
2016,183,185.5,198,201.4,223,218.36,
2016,185,185.5,198,201.4,223,218.36,
2016,185,185.5,198,201.4,223,218.36,
2016,185,185.5,198,201.4,222,218.36,
2016,185,185.5,198,201.4,221,218.36,
2016,186,185.5,198,201.4,221,218.36,
2016,186,185.5,198,201.4,220,218.36,
2016,186,185.5,198,201.4,220,218.36,
2016,186,185.5,198,201.4,221,218.36,
2016,186,185.5,198,201.4,222,218.36,
2016,186,185.5,198,201.4,222,218.36,
2016,187,185.5,198,201.4,222,218.36,
2016,187,185.5,198,201.4,220,218.36,
2016,188,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,220,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,220,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187.5,185.5,198,201.4,220,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,221,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,221,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,219,218.36,
2016,186.5,185.5,200,201.4,218,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,186,185.5,200,201.4,218,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,189,185.5,200,201.4,221,218.36,
2017,188,185.5,200,201.4,220,218.36,
2017,186,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,221,218.36,
2017,184,185.5,200,201.4,221,218.36,
2017,184,185.5,200,201.4,222,218.36,
2017,186,185.5,200,201.4,222,218.36,
2017,186,185.5,200,201.4,222,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,219,218.36,
2017,185,185.5,200,201.4,219,218.36,
2017,186,185.5,200,201.4,219,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,222,218.36,
2017,186,185.5,200,201.4,223,218.36,
2017,186,185.5,200,201.4,223,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,221,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,188,185.5,200,201.4,221,218.36,
2017,189,185.5,200,201.4,221,218.36,
2017,188,185.5,200,201.4,221,218.36,
2017,188,185.5,200,201.4,221,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,221,218.36,
2017,190,185.5,200,201.4,221,218.36,
2017,191,185.5,200,201.4,222,218.36,
2017,191,185.5,200,201.4,223,218.36,
2017,191,185.5,200,201.4,223,218.36,
2017,191,185.5,200,201.4,222,218.36,
2017,192,185.5,200,201.4,222,218.36,
2017,192,185.5,200,201.4,222,218.36,
2017,195,185.5,200,201.4,225,218.36,
2017,196,185.5,200,201.4,224,218.36,
2017,196,185.5,200,201.4,224,218.36,
2017,196,185.5,200,201.4,224,218.36,
2017,198,185.5,200,201.4,224,218.36,
2017,198,185.5,200,201.4,225,218.36,
2017,198,185.5,200,201.4,225,218.36,
2017,198,185.5,203,201.4,228,218.36,
2017,198,185.5,203,201.4,233,218.36,
2017,198,185.5,203,201.4,230,218.36,
2017,198,185.5,203,201.4,230,218.36,
2017,198,185.5,203,201.4,230,218.36,
2018,198,185.5,203,201.4,232,218.36,
2018,185,185.5,203,201.4,223,218.36,
2018,185,185.5,203,201.4,223,218.36,
2018,186,185.5,203,201.4,223,218.36,
2018,186,185.5,203,201.4,223,218.36,
2018,186,185.5,203,201.4,225,218.36,
2018,186,185.5,203,201.4,227,218.36,
2018,186,185.5,203,201.4,227,218.36,
2018,186,185.5,202,201.4,230,218.36,
2018,186,185.5,202,201.4,224,218.36,
2018,186,185.5,202,201.4,222,218.36,
2018,186,185.5,202,201.4,222,218.36,
2018,186,185.5,202,201.4,221,218.36,
2018,187,185.5,202,201.4,221,218.36,
2018,187,185.5,202,201.4,222,218.36,
2018,188,185.5,202,201.4,222,218.36,
